count	date	ip	user_agent	is_indexing_bot
1	2022-01-01	183.136.225.56	Baiduspider+(+http://www.baidu.com/search/spider.htm);googlebot|baiduspider|baidu|spider|sogou|bingbot|bot|yahoo|soso|sosospider|360spider|youdaobot|jikeSpider;)	1
322967	2022-01-01	176.10.98.242	CompanyHouse-PageFetcher/1.0	1
665	2022-01-01	66.249.64.4	Googlebot-Image/1.0	1
436	2022-01-01	66.249.64.5	Googlebot-Image/1.0	1
315	2022-01-01	66.249.64.6	Googlebot-Image/1.0	1
167	2022-01-01	66.249.64.7	Googlebot-Image/1.0	1
98	2022-01-01	66.249.64.8	Googlebot-Image/1.0	1
55	2022-01-01	66.249.64.9	Googlebot-Image/1.0	1
29	2022-01-01	66.249.64.10	Googlebot-Image/1.0	1
14	2022-01-01	66.249.64.11	Googlebot-Image/1.0	1
8	2022-01-01	66.249.64.12	Googlebot-Image/1.0	1
3	2022-01-01	66.249.64.13	Googlebot-Image/1.0	1
6	2022-01-01	66.249.64.14	Googlebot-Image/1.0	1
8	2022-01-01	66.249.64.15	Googlebot-Image/1.0	1
6	2022-01-01	66.249.64.16	Googlebot-Image/1.0	1
2	2022-01-01	66.249.64.17	Googlebot-Image/1.0	1
1	2022-01-01	66.249.64.18	Googlebot-Image/1.0	1
980	2022-01-01	66.249.64.25	Googlebot-Image/1.0	1
499	2022-01-01	66.249.64.26	Googlebot-Image/1.0	1
163	2022-01-01	66.249.64.27	Googlebot-Image/1.0	1
51	2022-01-01	66.249.64.28	Googlebot-Image/1.0	1
12	2022-01-01	66.249.64.29	Googlebot-Image/1.0	1
1	2022-01-01	66.249.66.95	Googlebot-Image/1.0	1
1	2022-01-01	66.249.66.141	Googlebot-Image/1.0	1
1	2022-01-01	66.249.73.51	Googlebot-Image/1.0	1
1	2022-01-01	66.249.73.61	Googlebot-Image/1.0	1
1	2022-01-01	66.249.79.156	Googlebot-Image/1.0	1
1356	2022-01-01	66.249.89.4	Mediapartners-Google	1
2042	2022-01-01	66.249.89.5	Mediapartners-Google	1
768	2022-01-01	66.249.89.6	Mediapartners-Google	1
736	2022-01-01	66.249.89.7	Mediapartners-Google	1
310	2022-01-01	66.249.89.8	Mediapartners-Google	1
284	2022-01-01	66.249.89.9	Mediapartners-Google	1
163	2022-01-01	66.249.89.10	Mediapartners-Google	1
109	2022-01-01	66.249.89.11	Mediapartners-Google	1
70	2022-01-01	66.249.89.12	Mediapartners-Google	1
49	2022-01-01	66.249.89.13	Mediapartners-Google	1
38	2022-01-01	66.249.89.14	Mediapartners-Google	1
54	2022-01-01	66.249.89.15	Mediapartners-Google	1
20	2022-01-01	66.249.89.16	Mediapartners-Google	1
6	2022-01-01	66.249.89.17	Mediapartners-Google	1
1	2022-01-01	66.249.89.18	Mediapartners-Google	1
3198	2022-01-01	66.249.89.25	Mediapartners-Google	1
1567	2022-01-01	66.249.89.26	Mediapartners-Google	1
585	2022-01-01	66.249.89.27	Mediapartners-Google	1
209	2022-01-01	66.249.89.28	Mediapartners-Google	1
50	2022-01-01	66.249.89.29	Mediapartners-Google	1
1	2022-01-01	66.249.89.30	Mediapartners-Google	1
3	2022-01-01	13.66.139.0	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
67455	2022-01-01	40.77.167.50	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
1	2022-01-01	40.77.167.91	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
59590	2022-01-01	157.55.39.101	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
58981	2022-01-01	157.55.39.139	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
67092	2022-01-01	157.55.39.162	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
59693	2022-01-01	207.46.13.30	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
66260	2022-01-01	207.46.13.128	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
1	2022-01-01	207.46.13.220	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
2	2022-01-01	207.46.13.223	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	1
1	2022-01-01	34.77.181.223	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
5058	2022-01-01	66.249.64.4	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
2958	2022-01-01	66.249.64.5	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
2901	2022-01-01	66.249.64.6	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1488	2022-01-01	66.249.64.7	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1255	2022-01-01	66.249.64.8	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
761	2022-01-01	66.249.64.9	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
502	2022-01-01	66.249.64.10	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
321	2022-01-01	66.249.64.11	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
307	2022-01-01	66.249.64.12	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
165	2022-01-01	66.249.64.13	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
164	2022-01-01	66.249.64.14	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
204	2022-01-01	66.249.64.15	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
92	2022-01-01	66.249.64.16	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
38	2022-01-01	66.249.64.17	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
5	2022-01-01	66.249.64.18	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
5721	2022-01-01	66.249.64.25	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
3363	2022-01-01	66.249.64.26	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1270	2022-01-01	66.249.64.27	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
465	2022-01-01	66.249.64.28	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
75	2022-01-01	66.249.64.29	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
3	2022-01-01	66.249.64.30	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.66.31	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.66.76	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.66.141	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
2	2022-01-01	66.249.66.155	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.66.200	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
2	2022-01-01	66.249.66.221	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.70.36	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.70.52	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.70.60	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.72.64	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.72.71	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
2	2022-01-01	66.249.72.72	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.72.76	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.72.78	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.72.83	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.73.35	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.73.38	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
1	2022-01-01	66.249.73.40	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
2	2022-01-01	66.249.73.61	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	1
