epoch,score,loss
1,-110534.33891088,13796176235.803
2,-105862.71626944,12737754936.714
3,-102243.08443919,11988729533.58
4,-97984.15886813,11025583529.148
5,-95683.433096273,10277953709.78
6,-94061.203722941,9545509452.4252
7,-94042.736028548,9051573557.671
8,-92292.958186408,8528470805.7576
9,-90481.9464772,8125646762.3912
10,-90955.621500286,7787589590.1543
11,-90621.016240811,7511119047.7928
12,-89131.133150976,7228789939.6163
13,-87246.350789082,6868860221.2201
14,-87640.519226437,6745899714.8747
15,-86284.034766078,6521848211.9328
16,-85548.225694181,6397812519.4551
17,-85330.691605535,6324301891.6147
18,-84421.689333462,6113233928.336
19,-83263.306460377,5918802127.9925
20,-82600.888020703,5787915770.7577
21,-83291.870313411,5615862177.3918
22,-83037.182797497,5560811905.7486
23,-83074.015296168,5534146401.6088
24,-82668.84446772,5450779856.9923
25,-81936.142022267,5368456102.3432
26,-81942.750004302,5309021785.3474
27,-81269.947754748,5213603268.3324
28,-81676.652455248,5155217547.3732
29,-82205.678804536,5108123307.2063
30,-82001.817787308,5069693737.7489
31,-82216.739556688,4991651177.8443
32,-82337.59084456,4926077594.1256
